EmployeeID,Age,Gender,Department,JobRole,Education,EducationField,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,JobLevel,JobSatisfaction,EnvironmentSatisfaction,PerformanceRating,Attrition,MaritalStatus,OverTime,DistanceFromHome,TrainingTimesLastYear,BusinessTravel
1001,29,Male,IT,Manager,2,Technical Degree,56925,11,23,1,2,1,4,4,No,Single,No,2,2,Travel_Rarely
1002,23,Male,IT,Manager,3,Technical Degree,41505,4,14,10,3,1,3,3,Yes,Divorced,No,10,1,Travel_Frequently
1003,39,Male,Finance,Executive,1,Human Resources,99000,6,1,9,5,4,4,3,Yes,Divorced,Yes,38,6,Travel_Rarely
1004,37,Male,Operations,Executive,2,Medical,51896,18,13,12,3,3,4,1,No,Divorced,No,46,2,Travel_Frequently
1005,36,Female,Operations,Manager,2,Life Sciences,33992,29,11,15,2,4,2,1,Yes,Divorced,No,10,4,Non-Travel
1006,30,Male,Sales,Specialist,2,Technical Degree,97641,28,21,8,2,1,3,1,No,Divorced,No,50,0,Travel_Rarely
1007,28,Male,Finance,Executive,5,Human Resources,52152,32,23,1,4,2,4,3,No,Married,Yes,8,1,Travel_Frequently
1008,56,Female,Operations,Executive,1,Medical,101858,29,7,6,5,1,2,4,Yes,Divorced,Yes,34,6,Travel_Frequently
1009,27,Female,HR,Executive,2,Technical Degree,53305,27,14,9,4,2,4,3,No,Single,Yes,24,5,Travel_Frequently
1010,59,Male,IT,Consultant,1,Medical,55539,18,19,11,4,4,2,3,No,Divorced,Yes,5,5,Non-Travel
1011,49,Male,Sales,Manager,4,Human Resources,68064,14,9,1,3,4,2,1,Yes,Married,No,24,0,Travel_Frequently
1012,24,Female,Finance,Specialist,4,Life Sciences,44340,33,24,10,4,4,3,2,No,Single,Yes,46,0,Non-Travel
1013,23,Male,Sales,Executive,5,Human Resources,103116,8,23,8,1,2,2,1,Yes,Divorced,Yes,43,5,Travel_Rarely
1014,27,Female,Operations,Consultant,4,Life Sciences,25371,23,25,3,1,3,4,2,Yes,Divorced,No,26,2,Non-Travel
1015,35,Female,Operations,Analyst,3,Marketing,61342,28,14,11,4,3,1,4,No,Divorced,Yes,38,6,Travel_Rarely
1016,36,Male,HR,Analyst,1,Technical Degree,43964,8,7,13,5,3,4,4,No,Single,No,7,4,Travel_Rarely
1017,54,Male,IT,Executive,2,Marketing,42038,19,17,12,4,1,4,4,Yes,Divorced,Yes,22,3,Travel_Frequently
1018,60,Male,Finance,Specialist,3,Life Sciences,95807,32,7,14,2,1,2,1,Yes,Married,No,20,6,Travel_Frequently
1019,23,Female,Sales,Specialist,3,Medical,57853,34,9,12,2,2,4,1,No,Married,No,21,4,Non-Travel
1020,57,Female,IT,Manager,4,Life Sciences,47871,20,25,10,5,1,2,1,No,Divorced,Yes,9,1,Travel_Frequently
1021,34,Female,Operations,Executive,1,Life Sciences,39408,3,25,5,3,2,3,3,Yes,Single,Yes,11,4,Travel_Rarely
1022,56,Female,IT,Analyst,2,Medical,111646,15,15,15,1,4,2,1,No,Single,Yes,47,0,Travel_Frequently
1023,48,Female,Sales,Manager,3,Marketing,28379,26,6,15,1,2,3,3,Yes,Married,No,28,6,Non-Travel
1024,36,Male,IT,Specialist,5,Technical Degree,42275,4,11,11,3,1,1,4,No,Married,No,41,3,Non-Travel
1025,50,Male,Operations,Manager,2,Life Sciences,26947,1,21,8,4,4,4,1,Yes,Single,Yes,32,6,Travel_Frequently
1026,59,Male,IT,Analyst,4,Life Sciences,71955,14,18,2,5,4,3,3,Yes,Single,Yes,42,4,Travel_Frequently
1027,39,Female,Finance,Specialist,1,Technical Degree,56186,20,14,13,4,2,1,4,No,Married,No,21,3,Travel_Rarely
1028,22,Female,IT,Consultant,5,Life Sciences,102182,14,14,2,3,3,2,4,No,Divorced,Yes,12,4,Travel_Frequently
1029,32,Male,Finance,Consultant,2,Technical Degree,67437,9,24,13,5,1,1,1,No,Divorced,Yes,46,5,Non-Travel
1030,49,Male,IT,Executive,2,Technical Degree,27068,17,9,5,1,1,3,2,No,Single,Yes,36,6,Non-Travel
1031,43,Male,Operations,Manager,3,Technical Degree,47838,19,24,9,1,3,4,2,No,Divorced,No,45,3,Travel_Rarely
1032,39,Male,HR,Specialist,2,Medical,59782,21,12,10,4,1,1,4,No,Single,No,40,4,Travel_Frequently
1033,31,Female,HR,Executive,1,Marketing,31868,8,16,3,2,3,1,2,No,Married,No,23,1,Travel_Rarely
1034,35,Male,Finance,Manager,1,Marketing,41614,1,16,2,3,3,2,2,Yes,Married,Yes,15,3,Travel_Frequently
1035,43,Female,Finance,Analyst,2,Human Resources,80176,32,13,10,3,4,2,3,Yes,Single,Yes,43,2,Travel_Rarely
1036,28,Male,HR,Specialist,3,Medical,93955,28,5,9,4,4,4,3,Yes,Married,Yes,38,0,Travel_Rarely
1037,27,Female,Operations,Manager,5,Human Resources,39896,12,6,9,3,2,2,3,Yes,Divorced,No,12,3,Non-Travel
1038,46,Female,Operations,Specialist,5,Marketing,33330,9,25,14,1,4,3,4,No,Married,Yes,25,6,Travel_Rarely
1039,28,Male,IT,Manager,3,Marketing,87422,25,19,13,4,3,3,2,Yes,Married,Yes,20,5,Travel_Rarely
1040,44,Male,Finance,Analyst,4,Marketing,83756,35,4,5,1,2,1,1,No,Divorced,No,47,0,Non-Travel
1041,44,Female,Operations,Specialist,1,Life Sciences,72453,15,8,14,5,1,2,2,Yes,Divorced,Yes,45,4,Travel_Rarely
1042,60,Male,Sales,Consultant,4,Human Resources,92271,33,1,11,5,3,2,4,No,Single,Yes,19,4,Non-Travel
1043,38,Male,IT,Analyst,3,Medical,102812,23,20,14,2,2,1,3,Yes,Married,No,9,4,Travel_Rarely
1044,24,Male,IT,Manager,4,Human Resources,39293,5,15,1,3,4,4,4,No,Single,No,12,6,Travel_Frequently
1045,51,Male,HR,Specialist,3,Marketing,84245,26,11,11,5,3,2,3,No,Single,No,47,4,Non-Travel
1046,56,Male,Finance,Analyst,5,Medical,91039,3,17,13,3,2,2,4,Yes,Divorced,No,1,5,Travel_Frequently
1047,29,Male,Operations,Manager,5,Human Resources,54038,28,3,8,1,1,4,1,Yes,Single,No,45,4,Non-Travel
1048,46,Female,Operations,Consultant,4,Marketing,105623,2,22,1,4,3,2,3,No,Single,No,37,1,Travel_Rarely
1049,27,Female,IT,Consultant,4,Marketing,30683,30,16,2,5,3,3,3,No,Married,No,26,0,Non-Travel
1050,57,Female,Finance,Manager,1,Medical,111363,5,3,12,4,2,3,2,Yes,Single,No,50,6,Travel_Rarely
1051,40,Male,Finance,Consultant,5,Technical Degree,93347,21,9,11,5,2,4,4,No,Single,Yes,37,3,Travel_Frequently
1052,45,Female,Finance,Analyst,1,Medical,64535,28,2,5,3,4,4,2,Yes,Single,Yes,3,1,Travel_Rarely
1053,58,Male,HR,Consultant,4,Technical Degree,85036,26,24,0,5,4,3,4,No,Married,Yes,12,1,Non-Travel
1054,34,Male,Operations,Executive,3,Life Sciences,109323,27,5,4,5,3,3,1,Yes,Divorced,Yes,39,1,Travel_Rarely
